case_id,alert_id,cse,investigation_notes_length,status
64,112,CSE_Power_A,354,Closed
65,113,CSE_Power_A,393,Closed
66,115,CSE_Power_A,184,Closed
67,116,CSE_Power_A,365,Closed
68,117,CSE_Power_A,366,Open
69,118,CSE_Power_A,237,Open
70,119,CSE_Power_A,283,Open
71,120,CSE_Power_A,140,Open
72,121,CSE_Power_A,162,Closed
73,122,CSE_Power_A,285,Closed
74,126,CSE_Power_A,279,Open
75,127,CSE_Power_A,126,Closed
76,128,CSE_Power_A,387,Closed
77,129,CSE_Power_A,214,Closed
78,130,CSE_Power_A,391,Closed
79,133,CSE_Power_A,346,Closed
80,135,CSE_Power_A,169,Open
81,136,CSE_Power_A,85,Closed
82,139,CSE_Power_A,179,Closed
83,141,CSE_Power_A,198,Open
84,142,CSE_Power_A,98,Closed
85,143,CSE_Power_A,80,Closed
86,144,CSE_Power_A,221,Closed
87,145,CSE_Power_A,282,Closed
88,146,CSE_Power_A,345,Closed
89,148,CSE_Power_A,126,Open
90,149,CSE_Power_A,366,Open
91,150,CSE_Power_A,221,Closed
92,152,CSE_Power_A,286,Open
93,153,CSE_Power_A,169,Closed
94,154,CSE_Power_A,366,Closed
95,155,CSE_Power_A,254,Closed
96,160,CSE_Power_A,306,Closed
97,161,CSE_Power_A,204,Closed
98,163,CSE_Power_A,315,Open
99,165,CSE_Power_A,212,Closed
100,166,CSE_Power_A,192,Open
101,169,CSE_Power_A,260,Open
102,170,CSE_Power_A,214,Closed
103,171,CSE_Power_A,284,Open
104,173,CSE_Power_A,363,Closed
105,174,CSE_Power_A,261,Closed
106,176,CSE_Power_A,177,Closed
107,178,CSE_Power_A,203,Closed
108,179,CSE_Power_A,183,Closed
109,181,CSE_Power_A,134,Closed
110,187,CSE_Power_A,101,Closed
111,188,CSE_Power_A,241,Closed
112,191,CSE_Power_A,220,Closed
113,192,CSE_Power_A,341,Closed
114,193,CSE_Power_A,375,Closed
115,194,CSE_Power_A,296,Closed
116,196,CSE_Power_A,257,Closed
117,199,CSE_Power_A,141,Open
118,200,CSE_Power_A,241,Open
119,201,CSE_Bank_B,187,Closed
120,202,CSE_Bank_B,246,Closed
121,204,CSE_Bank_B,360,Closed
122,205,CSE_Bank_B,321,Open
123,206,CSE_Bank_B,174,Closed
124,207,CSE_Bank_B,294,Open
125,209,CSE_Bank_B,285,Closed
126,210,CSE_Bank_B,372,Closed
127,216,CSE_Bank_B,275,Closed
128,217,CSE_Bank_B,156,Closed
129,219,CSE_Bank_B,335,Closed
130,222,CSE_Bank_B,241,Closed
131,223,CSE_Bank_B,367,Open
132,224,CSE_Bank_B,130,Open
133,225,CSE_Bank_B,190,Closed
134,226,CSE_Bank_B,129,Closed
135,228,CSE_Bank_B,264,Open
136,229,CSE_Bank_B,211,Closed
137,230,CSE_Bank_B,142,Closed
138,233,CSE_Bank_B,374,Open
139,235,CSE_Bank_B,225,Closed
140,236,CSE_Bank_B,341,Closed
141,238,CSE_Bank_B,120,Closed
142,240,CSE_Bank_B,154,Closed
143,243,CSE_Bank_B,393,Open
144,244,CSE_Bank_B,116,Closed
145,245,CSE_Bank_B,196,Closed
146,246,CSE_Bank_B,229,Open
147,247,CSE_Bank_B,282,Closed
148,252,CSE_Bank_B,310,Closed
149,253,CSE_Bank_B,91,Closed
150,258,CSE_Bank_B,165,Closed
151,259,CSE_Bank_B,112,Closed
152,260,CSE_Bank_B,93,Closed
153,261,CSE_Bank_B,122,Closed
154,262,CSE_Bank_B,159,Closed
155,265,CSE_Bank_B,206,Open
156,266,CSE_Bank_B,400,Closed
157,267,CSE_Bank_B,167,Closed
158,268,CSE_Bank_B,262,Closed
159,270,CSE_Bank_B,356,Closed
160,271,CSE_Bank_B,149,Open
161,272,CSE_Bank_B,382,Open
162,273,CSE_Bank_B,368,Closed
163,274,CSE_Bank_B,353,Closed
164,276,CSE_Bank_B,196,Closed
165,277,CSE_Bank_B,267,Closed
166,278,CSE_Bank_B,235,Closed
167,279,CSE_Bank_B,149,Closed
168,280,CSE_Bank_B,353,Closed
169,282,CSE_Bank_B,324,Closed
170,283,CSE_Bank_B,300,Closed
171,284,CSE_Bank_B,83,Open
172,285,CSE_Bank_B,290,Open
173,286,CSE_Bank_B,207,Closed
174,290,CSE_Bank_B,120,Closed
175,292,CSE_Bank_B,393,Open
176,294,CSE_Bank_B,352,Closed
177,295,CSE_Bank_B,115,Closed
178,296,CSE_Bank_B,136,Open
179,297,CSE_Bank_B,311,Closed
180,299,CSE_Bank_B,244,Closed
181,300,CSE_Bank_B,353,Closed
182,301,CSE_Bank_B,132,Closed
183,302,CSE_Bank_B,304,Open
184,303,CSE_Bank_B,126,Closed
185,304,CSE_Bank_B,191,Closed
186,305,CSE_Bank_B,335,Closed
187,306,CSE_Bank_B,96,Closed
188,307,CSE_Bank_B,154,Closed
189,308,CSE_Bank_B,280,Closed
190,309,CSE_Bank_B,172,Closed
191,311,CSE_Bank_B,275,Closed
192,312,CSE_Bank_B,207,Closed
193,314,CSE_Bank_B,97,Closed
194,315,CSE_Bank_B,128,Open
195,317,CSE_Bank_B,279,Open
196,320,CSE_Bank_B,101,Open
197,322,CSE_Bank_B,209,Closed
198,324,CSE_Bank_B,106,Open
199,325,CSE_Bank_B,137,Closed
200,327,CSE_Bank_B,165,Closed
201,328,CSE_Bank_B,282,Closed
202,329,CSE_Bank_B,101,Open
203,331,CSE_Bank_B,385,Closed
204,332,CSE_Bank_B,125,Closed
205,333,CSE_Bank_B,126,Open
206,338,CSE_Bank_B,158,Open
207,339,CSE_Bank_B,134,Closed
208,340,CSE_Bank_B,242,Open
209,344,CSE_Bank_B,178,Closed
210,346,CSE_Bank_B,148,Closed
211,348,CSE_Bank_B,304,Open
212,349,CSE_Bank_B,330,Closed
213,350,CSE_Bank_B,358,Closed
214,351,CSE_Bank_B,319,Closed
215,353,CSE_Bank_B,363,Closed
216,354,CSE_Bank_B,159,Closed
217,355,CSE_Bank_B,214,Open
218,356,CSE_Bank_B,80,Open
219,357,CSE_Bank_B,174,Closed
220,359,CSE_Bank_B,397,Closed
221,360,CSE_Bank_B,112,Open
222,363,CSE_Bank_B,334,Open
223,364,CSE_Bank_B,224,Closed
224,365,CSE_Bank_B,244,Closed
225,366,CSE_Bank_B,114,Closed
226,368,CSE_Bank_B,96,Closed
227,369,CSE_Bank_B,178,Closed
228,370,CSE_Bank_B,278,Open
229,371,CSE_Bank_B,399,Open
230,372,CSE_Bank_B,105,Closed
231,373,CSE_Bank_B,116,Closed
232,375,CSE_Bank_B,331,Closed
233,376,CSE_Bank_B,111,Closed
234,377,CSE_Bank_B,292,Closed
235,379,CSE_Bank_B,395,Closed
236,380,CSE_Bank_B,116,Closed
237,381,CSE_Bank_B,190,Open
238,382,CSE_Bank_B,198,Open
239,383,CSE_Bank_B,178,Open
240,385,CSE_Bank_B,171,Open
241,387,CSE_Bank_B,134,Open
242,388,CSE_Bank_B,314,Open
243,391,CSE_Bank_B,172,Open
244,392,CSE_Bank_B,252,Open
245,393,CSE_Bank_B,387,Closed
246,396,CSE_Bank_B,246,Closed
247,397,CSE_Bank_B,300,Open
248,398,CSE_Bank_B,203,Open
249,399,CSE_Bank_B,272,Open
250,401,CSE_Telecom_C,311,Closed
251,403,CSE_Telecom_C,97,Closed
252,404,CSE_Telecom_C,345,Closed
253,406,CSE_Telecom_C,233,Closed
254,407,CSE_Telecom_C,241,Closed
255,412,CSE_Telecom_C,372,Open
256,413,CSE_Telecom_C,99,Closed
257,414,CSE_Telecom_C,150,Closed
258,415,CSE_Telecom_C,378,Closed
259,416,CSE_Telecom_C,233,Closed
260,417,CSE_Telecom_C,371,Closed
261,421,CSE_Telecom_C,375,Closed
262,422,CSE_Telecom_C,233,Closed
263,424,CSE_Telecom_C,120,Closed
264,426,CSE_Telecom_C,302,Closed
265,428,CSE_Telecom_C,196,Open
266,431,CSE_Telecom_C,275,Closed
267,432,CSE_Telecom_C,101,Closed
268,433,CSE_Telecom_C,156,Closed
269,434,CSE_Telecom_C,193,Closed
270,435,CSE_Telecom_C,281,Closed
271,437,CSE_Telecom_C,126,Closed
272,438,CSE_Telecom_C,281,Closed
273,439,CSE_Telecom_C,122,Closed
274,440,CSE_Telecom_C,105,Open
275,441,CSE_Telecom_C,123,Closed
276,442,CSE_Telecom_C,146,Closed
277,443,CSE_Telecom_C,181,Closed
278,444,CSE_Telecom_C,372,Closed
279,445,CSE_Telecom_C,348,Closed
280,446,CSE_Telecom_C,216,Closed
281,447,CSE_Telecom_C,374,Closed
282,448,CSE_Telecom_C,291,Closed
283,449,CSE_Telecom_C,177,Closed
284,450,CSE_Telecom_C,92,Closed
285,451,CSE_Telecom_C,259,Open
286,455,CSE_Telecom_C,199,Closed
287,457,CSE_Telecom_C,123,Closed
288,459,CSE_Telecom_C,397,Closed
289,462,CSE_Telecom_C,136,Closed
290,463,CSE_Telecom_C,91,Closed
291,464,CSE_Telecom_C,355,Closed
292,465,CSE_Telecom_C,347,Closed
293,466,CSE_Telecom_C,398,Open
294,470,CSE_Telecom_C,349,Closed
295,471,CSE_Telecom_C,110,Closed
296,472,CSE_Telecom_C,396,Closed
297,473,CSE_Telecom_C,84,Closed
298,474,CSE_Telecom_C,218,Open
299,478,CSE_Telecom_C,277,Closed
300,480,CSE_Telecom_C,130,Closed
301,481,CSE_Telecom_C,385,Open
302,482,CSE_Telecom_C,181,Open
303,484,CSE_Telecom_C,91,Closed
304,485,CSE_Telecom_C,351,Closed
305,486,CSE_Telecom_C,281,Open
306,487,CSE_Telecom_C,257,Open
307,488,CSE_Telecom_C,400,Closed
308,489,CSE_Telecom_C,336,Closed
309,495,CSE_Telecom_C,364,Closed
310,496,CSE_Telecom_C,254,Closed
311,498,CSE_Telecom_C,275,Open
312,502,CSE_Telecom_C,203,Open
313,503,CSE_Telecom_C,239,Open
314,504,CSE_Telecom_C,357,Closed
315,505,CSE_Telecom_C,150,Open
316,506,CSE_Telecom_C,183,Closed
317,507,CSE_Telecom_C,348,Closed
318,508,CSE_Telecom_C,154,Open
319,511,CSE_Telecom_C,365,Open
320,513,CSE_Telecom_C,242,Closed
321,517,CSE_Telecom_C,290,Closed
322,518,CSE_Telecom_C,220,Closed
323,520,CSE_Telecom_C,174,Closed
324,523,CSE_Telecom_C,370,Open
325,524,CSE_Telecom_C,198,Closed
326,526,CSE_Telecom_C,324,Closed
327,527,CSE_Telecom_C,389,Closed
328,529,CSE_Telecom_C,278,Closed
329,530,CSE_Telecom_C,163,Closed
330,531,CSE_Telecom_C,289,Closed
331,534,CSE_Telecom_C,183,Closed
332,535,CSE_Telecom_C,304,Open
333,536,CSE_Telecom_C,246,Closed
334,538,CSE_Telecom_C,101,Open
335,540,CSE_Telecom_C,240,Closed
336,543,CSE_Telecom_C,348,Open
337,546,CSE_Telecom_C,311,Closed
338,548,CSE_Telecom_C,205,Open
339,549,CSE_Telecom_C,100,Open
340,550,CSE_Telecom_C,105,Closed
341,551,CSE_Telecom_C,283,Closed
342,553,CSE_Telecom_C,165,Closed
343,554,CSE_Telecom_C,107,Open
344,555,CSE_Telecom_C,152,Closed
345,557,CSE_Telecom_C,336,Closed
346,558,CSE_Telecom_C,379,Open
347,559,CSE_Telecom_C,281,Closed
348,560,CSE_Telecom_C,92,Closed
349,561,CSE_Telecom_C,183,Closed
350,562,CSE_Telecom_C,245,Open
351,565,CSE_Telecom_C,143,Closed
352,566,CSE_Telecom_C,310,Open
353,567,CSE_Telecom_C,348,Open
354,568,CSE_Telecom_C,341,Open
355,570,CSE_Telecom_C,274,Closed
356,573,CSE_Telecom_C,156,Closed
357,575,CSE_Telecom_C,106,Closed
358,576,CSE_Telecom_C,308,Closed
359,578,CSE_Telecom_C,147,Closed
360,579,CSE_Telecom_C,209,Closed
361,580,CSE_Telecom_C,335,Open
362,583,CSE_Telecom_C,191,Open
363,585,CSE_Telecom_C,306,Closed
364,587,CSE_Telecom_C,360,Closed
365,589,CSE_Telecom_C,186,Closed
366,590,CSE_Telecom_C,108,Open
367,591,CSE_Telecom_C,154,Closed
368,594,CSE_Telecom_C,124,Closed
369,595,CSE_Telecom_C,171,Closed
370,599,CSE_Telecom_C,367,Closed
371,602,CSE_Transport_D,98,Closed
372,604,CSE_Transport_D,274,Closed
373,607,CSE_Transport_D,321,Closed
374,608,CSE_Transport_D,220,Closed
375,609,CSE_Transport_D,348,Closed
376,612,CSE_Transport_D,350,Closed
377,613,CSE_Transport_D,389,Open
378,614,CSE_Transport_D,391,Closed
379,615,CSE_Transport_D,374,Open
380,616,CSE_Transport_D,146,Open
381,617,CSE_Transport_D,346,Open
382,619,CSE_Transport_D,172,Open
383,620,CSE_Transport_D,228,Closed
384,621,CSE_Transport_D,92,Closed
385,623,CSE_Transport_D,186,Open
386,625,CSE_Transport_D,250,Closed
387,626,CSE_Transport_D,188,Closed
388,629,CSE_Transport_D,114,Closed
389,630,CSE_Transport_D,361,Closed
390,632,CSE_Transport_D,250,Closed
391,633,CSE_Transport_D,371,Open
392,636,CSE_Transport_D,253,Open
393,637,CSE_Transport_D,322,Closed
394,639,CSE_Transport_D,315,Open
395,641,CSE_Transport_D,291,Open
396,642,CSE_Transport_D,346,Closed
397,643,CSE_Transport_D,241,Open
398,644,CSE_Transport_D,186,Open
399,648,CSE_Transport_D,156,Closed
400,650,CSE_Transport_D,272,Open
401,651,CSE_Transport_D,164,Open
402,653,CSE_Transport_D,139,Closed
403,655,CSE_Transport_D,96,Closed
404,656,CSE_Transport_D,334,Closed
405,657,CSE_Transport_D,234,Closed
406,658,CSE_Transport_D,169,Closed
407,659,CSE_Transport_D,99,Closed
408,661,CSE_Transport_D,92,Closed
409,663,CSE_Transport_D,254,Closed
410,665,CSE_Transport_D,247,Closed
411,667,CSE_Transport_D,344,Open
412,669,CSE_Transport_D,98,Closed
413,670,CSE_Transport_D,347,Closed
414,671,CSE_Transport_D,102,Open
415,674,CSE_Transport_D,103,Closed
416,675,CSE_Transport_D,239,Closed
417,676,CSE_Transport_D,239,Open
418,678,CSE_Transport_D,178,Closed
419,679,CSE_Transport_D,243,Closed
420,681,CSE_Transport_D,160,Closed
421,682,CSE_Transport_D,398,Open
422,683,CSE_Transport_D,185,Open
423,684,CSE_Transport_D,243,Closed
424,685,CSE_Transport_D,225,Open
425,686,CSE_Transport_D,116,Closed
426,688,CSE_Transport_D,307,Closed
427,689,CSE_Transport_D,321,Open
428,690,CSE_Transport_D,276,Closed
429,691,CSE_Transport_D,280,Closed
430,696,CSE_Transport_D,262,Closed
431,697,CSE_Transport_D,181,Open
432,700,CSE_Transport_D,318,Open
433,701,CSE_Transport_D,319,Closed
434,702,CSE_Transport_D,318,Closed
435,703,CSE_Transport_D,194,Closed
436,707,CSE_Transport_D,249,Closed
437,708,CSE_Transport_D,95,Closed
438,709,CSE_Transport_D,259,Closed
439,710,CSE_Transport_D,167,Closed
440,713,CSE_Transport_D,132,Closed
441,716,CSE_Transport_D,116,Closed
442,717,CSE_Transport_D,285,Open
443,718,CSE_Transport_D,397,Closed
444,719,CSE_Transport_D,326,Closed
445,720,CSE_Transport_D,186,Open
446,721,CSE_Transport_D,302,Open
447,723,CSE_Transport_D,200,Closed
448,725,CSE_Transport_D,373,Closed
449,726,CSE_Transport_D,385,Closed
450,727,CSE_Transport_D,129,Closed
451,728,CSE_Transport_D,287,Closed
452,729,CSE_Transport_D,385,Closed
453,730,CSE_Transport_D,111,Closed
454,731,CSE_Transport_D,151,Open
455,734,CSE_Transport_D,155,Open
456,735,CSE_Transport_D,352,Closed
457,736,CSE_Transport_D,375,Closed
458,737,CSE_Transport_D,242,Closed
459,738,CSE_Transport_D,235,Closed
460,742,CSE_Transport_D,393,Open
461,743,CSE_Transport_D,145,Closed
462,744,CSE_Transport_D,361,Closed
463,745,CSE_Transport_D,366,Closed
464,746,CSE_Transport_D,224,Closed
465,747,CSE_Transport_D,382,Closed
466,750,CSE_Transport_D,302,Open
467,751,CSE_Transport_D,168,Closed
468,752,CSE_Transport_D,364,Closed
469,754,CSE_Transport_D,293,Closed
470,755,CSE_Transport_D,144,Closed
471,756,CSE_Transport_D,88,Closed
472,758,CSE_Transport_D,303,Closed
473,759,CSE_Transport_D,292,Closed
474,764,CSE_Transport_D,297,Open
475,766,CSE_Transport_D,195,Closed
476,767,CSE_Transport_D,83,Open
477,768,CSE_Transport_D,201,Open
478,769,CSE_Transport_D,290,Open
479,770,CSE_Transport_D,97,Closed
480,771,CSE_Transport_D,268,Closed
481,772,CSE_Transport_D,120,Closed
482,774,CSE_Transport_D,223,Closed
483,775,CSE_Transport_D,347,Open
484,776,CSE_Transport_D,321,Open
485,779,CSE_Transport_D,356,Open
486,780,CSE_Transport_D,107,Closed
487,781,CSE_Transport_D,85,Closed
488,782,CSE_Transport_D,320,Open
489,784,CSE_Transport_D,230,Closed
490,785,CSE_Transport_D,385,Open
491,786,CSE_Transport_D,368,Closed
492,787,CSE_Transport_D,322,Open
493,788,CSE_Transport_D,106,Open
494,792,CSE_Transport_D,122,Closed
495,793,CSE_Transport_D,222,Closed
496,794,CSE_Transport_D,223,Closed
497,796,CSE_Transport_D,137,Open
498,797,CSE_Transport_D,382,Open
499,798,CSE_Transport_D,308,Closed
500,800,CSE_Transport_D,200,Closed
501,801,CSE_Bank_E,26,Closed
502,802,CSE_Bank_E,12,Closed
503,803,CSE_Bank_E,36,Closed
504,806,CSE_Bank_E,22,Closed
505,809,CSE_Bank_E,28,Open
506,811,CSE_Bank_E,18,Closed
507,812,CSE_Bank_E,24,Closed
508,813,CSE_Bank_E,25,Open
509,816,CSE_Bank_E,31,Open
510,817,CSE_Bank_E,18,Closed
511,818,CSE_Bank_E,23,Closed
512,819,CSE_Bank_E,35,Closed
513,820,CSE_Bank_E,20,Open
514,822,CSE_Bank_E,39,Open
515,825,CSE_Bank_E,39,Open
516,827,CSE_Bank_E,18,Closed
517,828,CSE_Bank_E,28,Closed
518,829,CSE_Bank_E,31,Open
519,830,CSE_Bank_E,31,Open
520,832,CSE_Bank_E,31,Open
521,834,CSE_Bank_E,10,Open
522,835,CSE_Bank_E,12,Closed
523,836,CSE_Bank_E,26,Closed
524,838,CSE_Bank_E,33,Closed
525,839,CSE_Bank_E,11,Closed
526,841,CSE_Bank_E,29,Open
527,843,CSE_Bank_E,29,Open
528,844,CSE_Bank_E,40,Closed
529,845,CSE_Bank_E,29,Closed
530,846,CSE_Bank_E,34,Open
531,847,CSE_Bank_E,40,Closed
532,850,CSE_Bank_E,24,Open
533,854,CSE_Bank_E,23,Open
534,857,CSE_Bank_E,15,Closed
535,858,CSE_Bank_E,11,Closed
536,859,CSE_Bank_E,11,Closed
537,861,CSE_Bank_E,24,Closed
538,862,CSE_Bank_E,39,Closed
539,864,CSE_Bank_E,25,Closed
540,865,CSE_Bank_E,34,Closed
541,866,CSE_Bank_E,30,Closed
542,869,CSE_Bank_E,12,Closed
543,870,CSE_Bank_E,18,Closed
544,871,CSE_Bank_E,25,Closed
545,873,CSE_Bank_E,11,Open
546,874,CSE_Bank_E,14,Open
547,875,CSE_Bank_E,22,Open
548,876,CSE_Bank_E,32,Closed
549,877,CSE_Bank_E,22,Open
550,880,CSE_Bank_E,10,Closed
551,883,CSE_Bank_E,28,Open
552,885,CSE_Bank_E,31,Closed
553,886,CSE_Bank_E,30,Open
554,887,CSE_Bank_E,27,Closed
555,888,CSE_Bank_E,24,Closed
556,890,CSE_Bank_E,11,Closed
557,892,CSE_Bank_E,22,Closed
558,894,CSE_Bank_E,12,Open
559,895,CSE_Bank_E,16,Closed
560,896,CSE_Bank_E,10,Open
561,898,CSE_Bank_E,22,Closed
562,901,CSE_Bank_E,40,Closed
563,903,CSE_Bank_E,20,Closed
564,904,CSE_Bank_E,33,Closed
565,905,CSE_Bank_E,16,Open
566,907,CSE_Bank_E,31,Open
567,908,CSE_Bank_E,28,Closed
568,910,CSE_Bank_E,14,Closed
569,912,CSE_Bank_E,39,Open
570,913,CSE_Bank_E,32,Open
571,914,CSE_Bank_E,15,Open
572,915,CSE_Bank_E,19,Closed
573,916,CSE_Bank_E,15,Open
574,917,CSE_Bank_E,36,Closed
575,918,CSE_Bank_E,29,Open
576,919,CSE_Bank_E,35,Closed
577,920,CSE_Bank_E,35,Open
578,922,CSE_Bank_E,31,Open
579,923,CSE_Bank_E,20,Closed
580,925,CSE_Bank_E,20,Closed
581,926,CSE_Bank_E,14,Closed
582,927,CSE_Bank_E,21,Open
583,928,CSE_Bank_E,17,Open
584,929,CSE_Bank_E,13,Open
585,932,CSE_Bank_E,25,Closed
586,933,CSE_Bank_E,15,Closed
587,935,CSE_Bank_E,19,Closed
588,938,CSE_Bank_E,14,Closed
589,939,CSE_Bank_E,18,Open
590,940,CSE_Bank_E,17,Closed
591,942,CSE_Bank_E,15,Open
592,943,CSE_Bank_E,40,Closed
593,946,CSE_Bank_E,10,Open
594,947,CSE_Bank_E,13,Open
595,952,CSE_Bank_E,24,Open
596,954,CSE_Bank_E,16,Closed
597,958,CSE_Bank_E,15,Closed
598,960,CSE_Bank_E,30,Closed
599,961,CSE_Bank_E,23,Closed
600,962,CSE_Bank_E,35,Closed
601,963,CSE_Bank_E,33,Closed
602,965,CSE_Bank_E,35,Closed
603,966,CSE_Bank_E,13,Closed
604,969,CSE_Bank_E,20,Closed
605,970,CSE_Bank_E,31,Closed
606,971,CSE_Bank_E,13,Closed
607,972,CSE_Bank_E,17,Open
608,973,CSE_Bank_E,16,Closed
609,975,CSE_Bank_E,28,Closed
610,976,CSE_Bank_E,23,Closed
611,977,CSE_Bank_E,29,Closed
612,978,CSE_Bank_E,21,Closed
613,979,CSE_Bank_E,16,Open
614,980,CSE_Bank_E,18,Closed
615,981,CSE_Bank_E,11,Open
616,982,CSE_Bank_E,18,Closed
617,983,CSE_Bank_E,24,Closed
618,984,CSE_Bank_E,34,Closed
619,985,CSE_Bank_E,19,Open
620,986,CSE_Bank_E,35,Open
621,989,CSE_Bank_E,27,Closed
622,990,CSE_Bank_E,37,Open
623,991,CSE_Bank_E,16,Open
624,992,CSE_Bank_E,24,Closed
625,993,CSE_Bank_E,23,Open
626,995,CSE_Bank_E,23,Open
627,996,CSE_Bank_E,39,Open
628,1000,CSE_Bank_E,11,Closed
